epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,1653.93,0.84644,0.69529,1.09977,0.89403,0.7122,0.79219,0.48106,1.34564,0.79452,1.37459,0.000219198,0.000219198,0.000219198
30,1709.16,0.83249,0.68081,1.09476,0.89574,0.71393,0.7906,0.50296,1.21905,0.78495,1.29622,0.000201527,0.000201527,0.000201527
31,1766.03,0.83616,0.60931,1.09962,0.8973,0.71328,0.80065,0.49106,1.26845,0.78482,1.34858,0.000183855,0.000183855,0.000183855
32,1819.96,0.81508,0.57762,1.07872,0.86371,0.72661,0.80387,0.50306,1.25622,0.77752,1.32132,0.000166183,0.000166183,0.000166183
33,1874.02,0.8035,0.5588,1.0721,0.9024,0.73216,0.8096,0.50103,1.25362,0.74483,1.33115,0.000148512,0.000148512,0.000148512
34,1927.26,0.78785,0.54613,1.06461,0.88928,0.74543,0.81363,0.50923,1.24411,0.72731,1.32171,0.000130841,0.000130841,0.000130841
35,1980.41,0.78056,0.53539,1.05667,0.91539,0.72916,0.81256,0.51934,1.21174,0.70939,1.31393,0.000113169,0.000113169,0.000113169
36,2034.19,0.75446,0.52151,1.04276,0.92615,0.74101,0.82236,0.51804,1.24976,0.7097,1.33062,9.54975e-05,9.54975e-05,9.54975e-05
37,2087.9,0.74007,0.50433,1.03066,0.90798,0.74444,0.82342,0.52597,1.21903,0.68984,1.31614,7.7826e-05,7.7826e-05,7.7826e-05
38,2140.62,0.73405,0.50397,1.03385,0.90999,0.75383,0.82478,0.52119,1.2401,0.69204,1.32168,6.01545e-05,6.01545e-05,6.01545e-05
39,2194.42,0.71613,0.49213,1.02558,0.91049,0.7421,0.82122,0.52935,1.2039,0.67862,1.30335,4.2483e-05,4.2483e-05,4.2483e-05
40,2248.42,0.71132,0.48372,1.01804,0.90361,0.75156,0.82177,0.53184,1.21229,0.66987,1.30872,2.48115e-05,2.48115e-05,2.48115e-05
