epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.3222,1.32687,2.07991,1.45261,0.60035,0.48112,0.50148,0.24357,1.76148,1.73151,1.69807,0.00023654,0.00023654,0.00023654
2,142.826,1.22979,1.45987,1.3723,0.64797,0.45384,0.50759,0.23873,1.90274,1.67329,1.826,0.000462795,0.000462795,0.000462795
3,199.474,1.24109,1.42848,1.3725,0.6489,0.44745,0.49477,0.23461,1.83398,1.73481,1.77477,0.000677269,0.000677269,0.000677269
4,255.518,1.20669,1.38078,1.36183,0.61439,0.47899,0.50192,0.25088,1.81364,1.74703,1.76421,0.000660986,0.000660986,0.000660986
5,311.758,1.1778,1.30683,1.33717,0.62661,0.51871,0.54758,0.24092,1.92795,1.49949,1.88989,0.000643314,0.000643314,0.000643314
6,367.804,1.16401,1.25147,1.32395,0.67213,0.53996,0.59623,0.27772,1.86833,1.39215,1.77828,0.000625642,0.000625642,0.000625642
7,423.85,1.13307,1.19971,1.30138,0.72304,0.56059,0.61477,0.30273,1.71598,1.25774,1.68928,0.000607971,0.000607971,0.000607971
8,479.82,1.11884,1.15383,1.28798,0.76373,0.57019,0.62787,0.30533,1.83532,1.29163,1.73676,0.0005903,0.0005903,0.0005903
9,535.352,1.08712,1.10489,1.26858,0.7592,0.59437,0.65983,0.34355,1.6622,1.19819,1.61977,0.000572628,0.000572628,0.000572628
10,590.875,1.08489,1.083,1.26022,0.7455,0.57955,0.65295,0.32802,1.66799,1.19976,1.60217,0.000554956,0.000554956,0.000554956
11,647.016,1.06136,1.05027,1.24839,0.73014,0.63591,0.66275,0.34798,1.57755,1.1364,1.57928,0.000537285,0.000537285,0.000537285
12,703.015,1.05356,1.01805,1.23782,0.79053,0.62515,0.68386,0.37362,1.55669,1.09039,1.53727,0.000519613,0.000519613,0.000519613
13,759.074,1.03395,0.98745,1.2267,0.78108,0.60214,0.66958,0.37245,1.56493,1.09717,1.57431,0.000501942,0.000501942,0.000501942
14,815.69,1.02586,0.96807,1.22055,0.79262,0.62816,0.69934,0.36013,1.6913,1.06828,1.62412,0.000484271,0.000484271,0.000484271
15,871.377,1.00569,0.94656,1.20841,0.82054,0.60645,0.70065,0.3726,1.63451,1.06265,1.61765,0.000466599,0.000466599,0.000466599
16,926.469,0.98375,0.90701,1.19473,0.83035,0.66947,0.73246,0.41573,1.45926,0.94659,1.47008,0.000448928,0.000448928,0.000448928
17,982.565,0.96657,0.88381,1.18473,0.79795,0.66956,0.73081,0.40744,1.45447,0.9598,1.48407,0.000431256,0.000431256,0.000431256
18,1038.84,0.96134,0.87245,1.1766,0.83248,0.65525,0.74131,0.40417,1.48402,0.93886,1.50968,0.000413584,0.000413584,0.000413584
19,1095.11,0.94183,0.85103,1.16857,0.84172,0.66746,0.74201,0.44079,1.36656,0.92023,1.42399,0.000395913,0.000395913,0.000395913
20,1151.37,0.94406,0.83882,1.1622,0.83043,0.66618,0.74474,0.43456,1.44696,0.91991,1.46724,0.000378242,0.000378242,0.000378242
21,1207.26,0.93167,0.82279,1.16071,0.84317,0.6792,0.75282,0.43774,1.41431,0.91163,1.44337,0.00036057,0.00036057,0.00036057
22,1262.73,0.91183,0.79636,1.14456,0.84303,0.71131,0.76523,0.44762,1.37982,0.84393,1.42515,0.000342899,0.000342899,0.000342899
23,1318.39,0.89541,0.77519,1.13481,0.87106,0.67408,0.76663,0.46444,1.32721,0.85905,1.38278,0.000325227,0.000325227,0.000325227
24,1374.4,0.8954,0.7753,1.13389,0.85913,0.71577,0.78051,0.47011,1.37494,0.84339,1.40519,0.000307555,0.000307555,0.000307555
25,1430.31,0.87476,0.74809,1.12855,0.85572,0.69499,0.77559,0.45652,1.38952,0.85215,1.43914,0.000289884,0.000289884,0.000289884
26,1486.63,0.869,0.7338,1.11887,0.87304,0.71266,0.79367,0.49505,1.28606,0.78608,1.34986,0.000272212,0.000272212,0.000272212
27,1542.57,0.86002,0.71741,1.11069,0.89486,0.70561,0.79149,0.48011,1.36227,0.79405,1.39118,0.000254541,0.000254541,0.000254541
28,1598.24,0.84403,0.69962,1.10265,0.87714,0.7078,0.79415,0.49532,1.28812,0.78195,1.33129,0.000236869,0.000236869,0.000236869
