epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3344.94,1.02918,0.7142,1.17943,0.61496,0.58054,0.59206,0.30017,1.75262,1.04923,1.71811,0.000179866,0.000179866,0.000179866
43,3423.05,1.01814,0.69897,1.16954,0.66298,0.54192,0.57505,0.29956,1.75229,1.09855,1.71584,0.000170692,0.000170692,0.000170692
44,3501.54,1.00629,0.69909,1.16522,0.60993,0.55841,0.57666,0.29226,1.77292,1.07803,1.74651,0.000161518,0.000161518,0.000161518
45,3580.98,0.99563,0.68322,1.157,0.61399,0.5991,0.59528,0.30168,1.79101,1.03338,1.77486,0.000152344,0.000152344,0.000152344
46,3659.13,0.99779,0.68229,1.16577,0.6127,0.57177,0.58948,0.29451,1.80555,1.08357,1.76661,0.00014317,0.00014317,0.00014317
47,3738.68,0.9914,0.67257,1.15263,0.70655,0.55823,0.59459,0.29725,1.8201,1.06477,1.81151,0.000133996,0.000133996,0.000133996
48,3816.79,0.98185,0.66221,1.14524,0.61396,0.55595,0.59596,0.30863,1.76143,1.02657,1.7489,0.000124822,0.000124822,0.000124822
49,3897.03,0.9673,0.65807,1.13948,0.64882,0.61489,0.62234,0.32572,1.74391,0.9984,1.75287,0.000115648,0.000115648,0.000115648
50,3975.94,0.96203,0.65316,1.14172,0.68579,0.53948,0.60171,0.31463,1.73969,1.02109,1.75411,0.000106474,0.000106474,0.000106474
51,4058.13,0.96244,0.587,1.15296,0.68706,0.57058,0.60509,0.31475,1.76904,1.02307,1.78973,9.73e-05,9.73e-05,9.73e-05
52,4135.19,0.9429,0.56898,1.13929,0.70726,0.54254,0.61454,0.32455,1.73092,0.99481,1.74956,8.8126e-05,8.8126e-05,8.8126e-05
53,4213.66,0.92922,0.56019,1.13621,0.64472,0.57641,0.59998,0.31458,1.73493,1.0045,1.73819,7.8952e-05,7.8952e-05,7.8952e-05
54,4291.24,0.91901,0.54959,1.12695,0.65449,0.58045,0.61803,0.32146,1.73497,0.99398,1.73971,6.9778e-05,6.9778e-05,6.9778e-05
55,4367.89,0.90804,0.54027,1.11537,0.67888,0.56267,0.61413,0.31991,1.74736,0.99934,1.76859,6.0604e-05,6.0604e-05,6.0604e-05
56,4445.6,0.90114,0.53437,1.11332,0.67619,0.57544,0.60474,0.3152,1.75611,1.00993,1.77398,5.143e-05,5.143e-05,5.143e-05
