epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,239.532,1.3172,1.59374,1.31741,0.70292,0.49048,0.55306,0.32357,1.37539,1.28856,1.38476,0.00027722,0.00027722,0.00027722
2,459.955,1.30852,1.22315,1.30957,0.72624,0.54949,0.58767,0.35104,1.3555,1.20842,1.38321,0.000541153,0.000541153,0.000541153
3,676.134,1.29111,1.18359,1.3016,0.7298,0.58549,0.6141,0.35811,1.3163,1.1796,1.33974,0.000791342,0.000791342,0.000791342
4,892.286,1.25236,1.11395,1.28077,0.82305,0.56923,0.64089,0.39212,1.29129,1.10356,1.34522,0.00077115,0.00077115,0.00077115
5,1107.92,1.21175,1.05059,1.254,0.81618,0.609,0.67515,0.427,1.2001,0.98751,1.2805,0.000750533,0.000750533,0.000750533
6,1323.61,1.17159,0.98894,1.22611,0.84521,0.62192,0.69128,0.4394,1.19036,0.93516,1.27741,0.000729916,0.000729916,0.000729916
7,1539.13,1.15504,0.95652,1.21937,0.74381,0.64104,0.70178,0.44219,1.18411,0.92871,1.2585,0.000709299,0.000709299,0.000709299
8,1754.51,1.12698,0.91446,1.19746,0.85661,0.62899,0.70497,0.45333,1.1646,0.88846,1.22953,0.000688683,0.000688683,0.000688683
9,1971.27,1.11948,0.89651,1.19317,0.73491,0.71487,0.74216,0.47508,1.13656,0.82204,1.22622,0.000668066,0.000668066,0.000668066
10,2187.01,1.09969,0.86584,1.18068,0.86098,0.66475,0.73324,0.48083,1.10398,0.82479,1.1968,0.000647449,0.000647449,0.000647449
11,2404.41,1.07552,0.84002,1.16685,0.86204,0.66316,0.74434,0.48396,1.10687,0.78488,1.19006,0.000626832,0.000626832,0.000626832
12,2621.02,1.07411,0.83184,1.16853,0.86775,0.67885,0.75854,0.50196,1.08587,0.75978,1.18224,0.000606216,0.000606216,0.000606216
13,2837.16,1.05892,0.80513,1.16085,0.8036,0.69565,0.76992,0.50223,1.06851,0.76037,1.16613,0.000585599,0.000585599,0.000585599
14,3053.28,1.0497,0.80477,1.15322,0.87722,0.6804,0.77142,0.50631,1.06505,0.72777,1.16315,0.000564982,0.000564982,0.000564982
15,3268.33,1.034,0.77903,1.14145,0.88677,0.68504,0.77222,0.50963,1.06178,0.72451,1.16737,0.000544365,0.000544365,0.000544365
16,3483.29,1.02667,0.76205,1.14034,0.80496,0.74355,0.78439,0.51722,1.0478,0.70946,1.152,0.000523749,0.000523749,0.000523749
17,3700.51,1.02102,0.75029,1.13335,0.81455,0.71594,0.78319,0.51575,1.05029,0.71521,1.15371,0.000503132,0.000503132,0.000503132
18,3916.64,1.00652,0.73029,1.1255,0.81154,0.74916,0.80775,0.53643,1.03095,0.68786,1.13619,0.000482515,0.000482515,0.000482515
19,4132.33,0.99651,0.72359,1.12189,0.78462,0.75414,0.78604,0.52656,1.04692,0.69142,1.14619,0.000461898,0.000461898,0.000461898
20,4348.69,0.99409,0.71777,1.12036,0.84462,0.75455,0.81045,0.54252,1.02401,0.66527,1.13384,0.000441282,0.000441282,0.000441282
21,4565.71,0.98534,0.6995,1.11197,0.80422,0.75121,0.80887,0.54506,1.00998,0.66121,1.12591,0.000420665,0.000420665,0.000420665
22,4782.34,0.97756,0.68844,1.10801,0.8292,0.75456,0.80737,0.54781,1.0067,0.64074,1.11681,0.000400048,0.000400048,0.000400048
23,4999.65,0.96897,0.68004,1.10347,0.83271,0.74876,0.80891,0.55444,0.99987,0.63431,1.11787,0.000379431,0.000379431,0.000379431
24,5215.96,0.96254,0.66745,1.10113,0.86507,0.73875,0.82117,0.56533,0.99957,0.63393,1.11124,0.000358815,0.000358815,0.000358815
25,5432.76,0.94842,0.65509,1.09031,0.8836,0.75947,0.82891,0.56463,0.99175,0.62084,1.11133,0.000338198,0.000338198,0.000338198
26,5648.08,0.95211,0.65136,1.09382,0.88027,0.76601,0.84241,0.57571,0.98978,0.61756,1.10501,0.000317581,0.000317581,0.000317581
27,5863.37,0.94169,0.64505,1.09213,0.88855,0.7622,0.84005,0.5753,0.98269,0.60896,1.10347,0.000296964,0.000296964,0.000296964
28,6078.99,0.93396,0.62962,1.08605,0.86635,0.77042,0.84437,0.58532,0.97772,0.60044,1.09895,0.000276348,0.000276348,0.000276348
29,6294.53,0.93328,0.62835,1.0827,0.87832,0.78173,0.85324,0.59067,0.97116,0.5902,1.09181,0.000255731,0.000255731,0.000255731
30,6509.99,0.91488,0.61115,1.07481,0.86771,0.78749,0.85327,0.57943,0.97597,0.5896,1.09962,0.000235114,0.000235114,0.000235114
31,6722.37,0.91429,0.55317,1.06722,0.8824,0.78156,0.85253,0.58556,0.97126,0.5866,1.09163,0.000214497,0.000214497,0.000214497
32,6933.21,0.90378,0.53584,1.05942,0.87228,0.79621,0.85771,0.59593,0.96641,0.57602,1.08866,0.000193881,0.000193881,0.000193881
33,7143.63,0.88857,0.52215,1.05175,0.90845,0.78101,0.86682,0.5969,0.95842,0.57108,1.08786,0.000173264,0.000173264,0.000173264
34,7353.77,0.87976,0.51712,1.04978,0.84003,0.80522,0.86661,0.60321,0.95541,0.56788,1.08811,0.000152647,0.000152647,0.000152647
35,7563.69,0.86865,0.50301,1.04193,0.89714,0.79237,0.87013,0.60481,0.95141,0.56094,1.08119,0.000132031,0.000132031,0.000132031
36,7773.26,0.86193,0.49415,1.03787,0.89694,0.77591,0.86441,0.6003,0.95234,0.55982,1.08176,0.000111414,0.000111414,0.000111414
37,7983.29,0.85187,0.48495,1.03149,0.88605,0.79709,0.87307,0.60977,0.95111,0.55387,1.08182,9.0797e-05,9.0797e-05,9.0797e-05
38,8194.37,0.84291,0.47413,1.02609,0.8728,0.81368,0.87361,0.61178,0.94664,0.5492,1.07837,7.01802e-05,7.01802e-05,7.01802e-05
39,8404.93,0.83771,0.47234,1.02352,0.85682,0.81346,0.87238,0.60939,0.94279,0.54644,1.07541,4.95635e-05,4.95635e-05,4.95635e-05
40,8614.37,0.82903,0.46203,1.02007,0.89366,0.78104,0.8697,0.61022,0.94232,0.54463,1.07572,2.89468e-05,2.89468e-05,2.89468e-05
